id,trial,aAngHG_oHead,aAngHG_oMid,aAngHG_oReach,aAngHGFeed1,aAngHGFeed2,aAngHGFeed3,aAngHGFeed4,aDistReach_1,aDistReach_2,aDistReach_3,aDistReach_4,oAngHGFeed1,oAngHGFeed2,oAngHGFeed3,oAngHGFeed4,oDistReach1,oDistReach2,oDistReach3,oDistReach4,s_1,s_2,s_3,s_4,b_1,b_2,b_3,b_4
54615,6,43.38892878,38.10901455,44.3621093,59.85762754,49.20923639,36.28056876,27.89404469,0.55891388,0.448338053,0.292337687,0.239082555,54.6627845,21.85294806,20.8587083,24.44748612,0.165973203,0.06231291,0.141288934,0.272558951,0,0,0,0,0,0,1,0
54616,6,40.39739158,24.7906321,15.7891421,32.52872047,15.01922674,15.07845198,17.57896048,0.545032629,0.450738692,0.29152669,0.244730378,54.61179584,21.91155725,20.59002589,24.12975971,0.16439053,0.063952895,0.140888446,0.273614402,0,0,0,0,0,0,1,0
54617,6,43.04589776,27.54478933,20.87692333,38.02551556,20.7234873,20.24973799,13.08119516,0.534874303,0.431846975,0.276325125,0.250435143,54.65565778,21.893952,20.61897036,24.12607428,0.163782313,0.066275909,0.1392404,0.273611684,0,0,0,0,0,0,1,0
54618,6,39.36130387,24.02524254,17.05437402,34.126918,17.26141257,16.79436251,17.91199473,0.523096534,0.412424374,0.260582522,0.226162407,54.36225627,21.56995532,21.01253336,24.53761143,0.162660691,0.069085449,0.13803714,0.274283676,0,0,0,0,0,0,1,0
54619,6,40.89563607,25.95252037,20.58732708,38.03305413,21.49581717,20.82496168,15.62876942,0.514280351,0.397079458,0.248479835,0.204417241,54.09734419,21.48207483,20.79825387,24.44875029,0.163167066,0.071299183,0.13655351,0.273791339,0,0,0,0,0,0,1,0
54620,6,37.26710712,22.46293181,18.20314174,35.97248317,20.81091827,19.23973649,19.25791373,0.508102226,0.386907704,0.23978021,0.18942295,53.87287494,21.30500643,21.06912451,24.61658573,0.163170077,0.070909857,0.137273858,0.274082283,0,0,0,0,0,0,1,0
54621,6,32.46020431,17.24125785,10.06306275,28.04910847,14.0282047,11.30713372,27.76319392,0.509520874,0.379858684,0.241183066,0.173269352,53.85376649,21.41130182,21.00062617,24.44383987,0.161356519,0.072640474,0.138419101,0.276156666,0,0,0,0,0,0,1,0
54622,6,38.45372302,22.53280246,14.39467494,31.73100034,14.95989971,15.97818942,23.02592585,0.503990673,0.369926641,0.233326769,0.141162173,54.02495257,21.54777745,21.2940754,24.57217504,0.163473439,0.073181881,0.13663814,0.274197883,0,0,0,0,0,0,1,0
54623,6,36.51983413,20.63271807,12.37862505,29.8992305,13.8729412,14.38823525,25.86704064,0.502526955,0.363921608,0.230296426,0.141914503,53.77686095,21.50228827,21.21787809,24.49913462,0.162796901,0.07523408,0.136427962,0.275025275,0,0,0,0,0,0,1,0
54624,6,36.78280696,20.43356445,13.87459897,31.74769201,16.2924655,16.63028571,25.35449182,0.501552027,0.359567761,0.228791258,0.131591061,53.0881833,20.97101109,21.9802418,25.3518744,0.16234483,0.077467173,0.136264956,0.275820006,0,0,0,0,0,0,1,0
