id,trial,H_headFront_x,H_headFront_y,H_headFront_z,H_neck_x,H_neck_y,H_neck_z,H_lowerBack_x,H_lowerBack_y,H_lowerBack_z,H_leftWrist_x,H_leftWrist_y,H_leftWrist_z,H_leftShoulder_x,H_leftShoulder_y,H_leftShoulder_z,H_leftElbow_x,H_leftElbow_y,H_leftElbow_z,s_1,s_2,s_3,s_4
49502,22,-344.1919556,-304.8654175,2038.943115,-249.739502,-341.567688,1817.519165,-307.9194946,-105.8755493,2242.078369,-347.7277222,-305.4812012,2037.669922,-430.6167603,-343.1281128,1878.511108,-342.3319092,-305.5821533,2045.486328,1,1,1,1
49503,22,-348.2809448,-315.9521484,2035.917114,-254.8469238,-347.2206421,1817.367676,-316.9556274,-109.2687988,2225.752197,-353.1980591,-317.5689697,2033.709229,-448.7031555,-370.3333435,1883.293945,-346.0371094,-315.9304199,2042.8396,1,1,1,1
49504,22,-360.7561646,-344.1724243,2016.796143,-256.4892578,-349.1463623,1822.282959,-307.0910034,-108.4904785,2235.102051,-363.8974609,-344.5883179,2015.301514,-431.8031311,-353.6513062,1886.296631,-359.2269287,-345.8215332,2022.92981,1,1,1,1
49505,22,-359.4602661,-355.1055298,2022.400391,-256.3355713,-357.2928467,1821.512695,-303.5848999,-110.1114502,2240.279785,-362.0705566,-354.6769409,2020.916504,-429.3063354,-359.6851196,1887.757568,-357.418335,-356.329895,2028.786865,1,1,1,1
49506,22,-372.9404297,-364.4140015,2023.892944,-263.9383545,-359.0632935,1822.697388,-313.131958,-121.2529297,2256.584961,-375.5495605,-364.1067505,2022.61377,-441.5976257,-366.2796631,1897.160522,-370.9545288,-365.6635132,2030.068848,1,1,1,1
49507,22,-356.5767822,-384.9472046,2015.091064,-260.9278564,-368.9313354,1823.54834,-310.9215698,-117.9598389,2250.196777,-359.0983887,-384.1052856,2013.769043,-439.3233948,-362.7589111,1898.51001,-354.598877,-386.6602783,2020.615479,1,1,1,1
49508,22,-357.2908936,-395.4647827,2017.322754,-264.5323486,-378.3286743,1823.897705,-312.4155884,-119.9003906,2247.868164,-359.9771729,-394.7456665,2015.927979,-446.4332275,-371.4318237,1903.96167,-355.222168,-397.4376221,2022.986816,1,1,1,1
49509,22,-364.9481201,-423.7615967,2035.721069,-265.8461914,-395.1694946,1823.815918,-311.5643921,-143.4968262,2287.867432,-367.9828491,-422.5679932,2034.753052,-440.7475281,-383.0621338,1905.420166,-363.9213867,-424.4532471,2041.491333,1,1,1,1
49510,22,-366.7506714,-436.9430542,2031.358276,-268.9609985,-401.3654175,1824.568481,-315.5498047,-140.3084717,2277.917969,-370.307373,-434.8512573,2030.663696,-444.493042,-390.0670166,1904.348389,-365.329834,-436.7846069,2038.002808,1,1,1,1
49511,22,-387.9581909,-473.6693115,2022.107422,-278.3656006,-415.2092285,1824.016357,-321.5834351,-135.2669678,2267.455811,-390.7866211,-471.8826294,2020.838135,-468.5717773,-427.5684814,1917.640503,-387.6307983,-473.5668335,2027.777588,1,1,1,1
